"","ActivityCategory","ActivityName","FormFieldType","Category","Name","Description","Units","AttributeValue","ReportingFrequency","LocationType","multipleAllowed","mandatory","sort"
"195","PROT[4]Child Protection","[REF4.1]CP Systems Capacity Increased","Indicator","Breakdown of main indicator","Men (Age 18 and Abocve)-SYR living in communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"213","PROT[4]Child Protection","[REF4.1]CP Systems Capacity Increased","Indicator","Breakdown of main indicator","Women (Age 18 and above)-Members of impacted communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"231","PROT[4]Child Protection","[REF4.1]CP Systems Capacity Increased","Indicator","Breakdown of main indicator","Women (Age 18 and above)-SYR living in camps","","# of benef.","","Once","SyrRefRespRRP6","","",""
"249","PROT[4]Child Protection","[REF4.1]CP Systems Capacity Increased","Indicator","Breakdown of main indicator","Women (Age 18 and above)-SYR living in communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"267","PROT[4]Child Protection","[REF4.1]CP Systems Capacity Increased","Indicator","Budget","Budgetary Requirement for 2015","","USD $","","Once","SyrRefRespRRP6","","",""
"285","PROT[4]Child Protection","[REF4.1]CP Systems Capacity Increased","Indicator","Budget","NLG Budget  
(as part of the overall budget)","","USD $","","Once","SyrRefRespRRP6","","",""
"327","PROT[4]Child Protection","[REF4.1]CP Systems Capacity Increased","Indicator","Indicator","# of GoJ officials, civil society & humanitarian workers trained on CP (gender disaggregated)","","# of staff","","Once","SyrRefRespRRP6","","",""
"328","PROT[4]Child Protection","[REF4.1]CP Systems Capacity Increased","Indicator","Indicator","# of GoJ officials, civil society & humanitarian workers trained on CP (gender disaggregated)","","# of staff","","Once","SyrRefRespRRP6","","",""
"329","PROT[4]Child Protection","[REF4.1]CP Systems Capacity Increased","Indicator","Indicator","# of GoJ officials, civil society & humanitarian workers trained on CP (gender disaggregated)","","# of staff","","Once","SyrRefRespRRP6","","",""
"330","PROT[4]Child Protection","[REF4.1]CP Systems Capacity Increased","Indicator","Indicator","# of GoJ officials, civil society & humanitarian workers trained on CP (gender disaggregated)","","# of staff","","Once","SyrRefRespRRP6","","",""
"16","PROT[4]Child Protection","[REF4.2]Advocacy & Knowledge Generation","AttributeGroup","","Implementation (Direct/Indirect)","","","Direct Implementation","Once","SyrRefRespRRP6","","",""
"34","PROT[4]Child Protection","[REF4.2]Advocacy & Knowledge Generation","AttributeGroup","","Implementation (Direct/Indirect)","","","Indirect Implementation","Once","SyrRefRespRRP6","","",""
"52","PROT[4]Child Protection","[REF4.2]Advocacy & Knowledge Generation","Indicator","Breakdown of main indicator","Boys (Age 0-17)-Members of impacted communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"70","PROT[4]Child Protection","[REF4.2]Advocacy & Knowledge Generation","Indicator","Breakdown of main indicator","Boys (Age 0-17)-SYR living in camps","","# of benef.","","Once","SyrRefRespRRP6","","",""
"88","PROT[4]Child Protection","[REF4.2]Advocacy & Knowledge Generation","Indicator","Breakdown of main indicator","Boys (Age 0-17)-SYR living in communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"106","PROT[4]Child Protection","[REF4.2]Advocacy & Knowledge Generation","Indicator","Breakdown of main indicator","Girls (Age 0-17)-Members of impacted communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"124","PROT[4]Child Protection","[REF4.2]Advocacy & Knowledge Generation","Indicator","Breakdown of main indicator","Girls (Age 0-17)-SYR living in camps","","# of benef.","","Once","SyrRefRespRRP6","","",""
"142","PROT[4]Child Protection","[REF4.2]Advocacy & Knowledge Generation","Indicator","Breakdown of main indicator","Girls (Age 0-17)-SYR living in communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"160","PROT[4]Child Protection","[REF4.2]Advocacy & Knowledge Generation","Indicator","Breakdown of main indicator","Men (Age 18 and Abocve)-Members of impacted communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"178","PROT[4]Child Protection","[REF4.2]Advocacy & Knowledge Generation","Indicator","Breakdown of main indicator","Men (Age 18 and Abocve)-SYR living in camps","","# of benef.","","Once","SyrRefRespRRP6","","",""
"196","PROT[4]Child Protection","[REF4.2]Advocacy & Knowledge Generation","Indicator","Breakdown of main indicator","Men (Age 18 and Abocve)-SYR living in communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"214","PROT[4]Child Protection","[REF4.2]Advocacy & Knowledge Generation","Indicator","Breakdown of main indicator","Women (Age 18 and above)-Members of impacted communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"232","PROT[4]Child Protection","[REF4.2]Advocacy & Knowledge Generation","Indicator","Breakdown of main indicator","Women (Age 18 and above)-SYR living in camps","","# of benef.","","Once","SyrRefRespRRP6","","",""
"250","PROT[4]Child Protection","[REF4.2]Advocacy & Knowledge Generation","Indicator","Breakdown of main indicator","Women (Age 18 and above)-SYR living in communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"268","PROT[4]Child Protection","[REF4.2]Advocacy & Knowledge Generation","Indicator","Budget","Budgetary Requirement for 2015","","USD $","","Once","SyrRefRespRRP6","","",""
"286","PROT[4]Child Protection","[REF4.2]Advocacy & Knowledge Generation","Indicator","Budget","NLG Budget  
(as part of the overall budget)","","USD $","","Once","SyrRefRespRRP6","","",""
"331","PROT[4]Child Protection","[REF4.2]Advocacy & Knowledge Generation","Indicator","Indicator","A common situation monitoring framework is in place, including indicators, data collection methods and frequency of data collection (yes/no)","","Yes=1/No=1","","Once","SyrRefRespRRP6","","",""
"332","PROT[4]Child Protection","[REF4.2]Advocacy & Knowledge Generation","Indicator","Indicator","A common situation monitoring framework is in place, including indicators, data collection methods and frequency of data collection (yes/no)","","Yes=1/No=1","","Once","SyrRefRespRRP6","","",""
"333","PROT[4]Child Protection","[REF4.2]Advocacy & Knowledge Generation","Indicator","Indicator","A common situation monitoring framework is in place, including indicators, data collection methods and frequency of data collection (yes/no)","","Yes=1/No=1","","Once","SyrRefRespRRP6","","",""
"334","PROT[4]Child Protection","[REF4.2]Advocacy & Knowledge Generation","Indicator","Indicator","A common situation monitoring framework is in place, including indicators, data collection methods and frequency of data collection (yes/no)","","Yes=1/No=1","","Once","SyrRefRespRRP6","","",""
"17","PROT[4]Child Protection","[REF4.3]Community Mechanisms Strength/d","AttributeGroup","","Implementation (Direct/Indirect)","","","Direct Implementation","Once","SyrRefRespRRP6","","",""
"35","PROT[4]Child Protection","[REF4.3]Community Mechanisms Strength/d","AttributeGroup","","Implementation (Direct/Indirect)","","","Indirect Implementation","Once","SyrRefRespRRP6","","",""
"53","PROT[4]Child Protection","[REF4.3]Community Mechanisms Strength/d","Indicator","Breakdown of main indicator","Boys (Age 0-17)-Members of impacted communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"71","PROT[4]Child Protection","[REF4.3]Community Mechanisms Strength/d","Indicator","Breakdown of main indicator","Boys (Age 0-17)-SYR living in camps","","# of benef.","","Once","SyrRefRespRRP6","","",""
"89","PROT[4]Child Protection","[REF4.3]Community Mechanisms Strength/d","Indicator","Breakdown of main indicator","Boys (Age 0-17)-SYR living in communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"107","PROT[4]Child Protection","[REF4.3]Community Mechanisms Strength/d","Indicator","Breakdown of main indicator","Girls (Age 0-17)-Members of impacted communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"125","PROT[4]Child Protection","[REF4.3]Community Mechanisms Strength/d","Indicator","Breakdown of main indicator","Girls (Age 0-17)-SYR living in camps","","# of benef.","","Once","SyrRefRespRRP6","","",""
"143","PROT[4]Child Protection","[REF4.3]Community Mechanisms Strength/d","Indicator","Breakdown of main indicator","Girls (Age 0-17)-SYR living in communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"161","PROT[4]Child Protection","[REF4.3]Community Mechanisms Strength/d","Indicator","Breakdown of main indicator","Men (Age 18 and Abocve)-Members of impacted communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"179","PROT[4]Child Protection","[REF4.3]Community Mechanisms Strength/d","Indicator","Breakdown of main indicator","Men (Age 18 and Abocve)-SYR living in camps","","# of benef.","","Once","SyrRefRespRRP6","","",""
"197","PROT[4]Child Protection","[REF4.3]Community Mechanisms Strength/d","Indicator","Breakdown of main indicator","Men (Age 18 and Abocve)-SYR living in communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"215","PROT[4]Child Protection","[REF4.3]Community Mechanisms Strength/d","Indicator","Breakdown of main indicator","Women (Age 18 and above)-Members of impacted communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"233","PROT[4]Child Protection","[REF4.3]Community Mechanisms Strength/d","Indicator","Breakdown of main indicator","Women (Age 18 and above)-SYR living in camps","","# of benef.","","Once","SyrRefRespRRP6","","",""
"251","PROT[4]Child Protection","[REF4.3]Community Mechanisms Strength/d","Indicator","Breakdown of main indicator","Women (Age 18 and above)-SYR living in communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"269","PROT[4]Child Protection","[REF4.3]Community Mechanisms Strength/d","Indicator","Budget","Budgetary Requirement for 2015","","USD $","","Once","SyrRefRespRRP6","","",""
"287","PROT[4]Child Protection","[REF4.3]Community Mechanisms Strength/d","Indicator","Budget","NLG Budget  
(as part of the overall budget)","","USD $","","Once","SyrRefRespRRP6","","",""
"335","PROT[4]Child Protection","[REF4.3]Community Mechanisms Strength/d","Indicator","Indicator","# of community members, including children, sensitized on CP issues, services available and referral pathways (age & gender disaggregated) (includes inter-agency information campaigns)","","# of benef.","","Once","SyrRefRespRRP6","","",""
"336","PROT[4]Child Protection","[REF4.3]Community Mechanisms Strength/d","Indicator","Indicator","# of community members, including children, sensitized on CP issues, services available and referral pathways (age & gender disaggregated) (includes inter-agency information campaigns)","","# of benef.","","Once","SyrRefRespRRP6","","",""
"337","PROT[4]Child Protection","[REF4.3]Community Mechanisms Strength/d","Indicator","Indicator","# of community members, including children, sensitized on CP issues, services available and referral pathways (age & gender disaggregated) (includes inter-agency information campaigns)","","# of benef.","","Once","SyrRefRespRRP6","","",""
"338","PROT[4]Child Protection","[REF4.3]Community Mechanisms Strength/d","Indicator","Indicator","# of community members, including children, sensitized on CP issues, services available and referral pathways (age & gender disaggregated) (includes inter-agency information campaigns)","","# of benef.","","Once","SyrRefRespRRP6","","",""
"18","PROT[4]Child Protection","[REF4.4]Specialised Services/Case Mngmt.","AttributeGroup","","Implementation (Direct/Indirect)","","","Direct Implementation","Once","SyrRefRespRRP6","","",""
"36","PROT[4]Child Protection","[REF4.4]Specialised Services/Case Mngmt.","AttributeGroup","","Implementation (Direct/Indirect)","","","Indirect Implementation","Once","SyrRefRespRRP6","","",""
"54","PROT[4]Child Protection","[REF4.4]Specialised Services/Case Mngmt.","Indicator","Breakdown of main indicator","Boys (Age 0-17)-Members of impacted communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"72","PROT[4]Child Protection","[REF4.4]Specialised Services/Case Mngmt.","Indicator","Breakdown of main indicator","Boys (Age 0-17)-SYR living in camps","","# of benef.","","Once","SyrRefRespRRP6","","",""
"90","PROT[4]Child Protection","[REF4.4]Specialised Services/Case Mngmt.","Indicator","Breakdown of main indicator","Boys (Age 0-17)-SYR living in communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"108","PROT[4]Child Protection","[REF4.4]Specialised Services/Case Mngmt.","Indicator","Breakdown of main indicator","Girls (Age 0-17)-Members of impacted communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"126","PROT[4]Child Protection","[REF4.4]Specialised Services/Case Mngmt.","Indicator","Breakdown of main indicator","Girls (Age 0-17)-SYR living in camps","","# of benef.","","Once","SyrRefRespRRP6","","",""
"144","PROT[4]Child Protection","[REF4.4]Specialised Services/Case Mngmt.","Indicator","Breakdown of main indicator","Girls (Age 0-17)-SYR living in communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"162","PROT[4]Child Protection","[REF4.4]Specialised Services/Case Mngmt.","Indicator","Breakdown of main indicator","Men (Age 18 and Abocve)-Members of impacted communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"180","PROT[4]Child Protection","[REF4.4]Specialised Services/Case Mngmt.","Indicator","Breakdown of main indicator","Men (Age 18 and Abocve)-SYR living in camps","","# of benef.","","Once","SyrRefRespRRP6","","",""
"198","PROT[4]Child Protection","[REF4.4]Specialised Services/Case Mngmt.","Indicator","Breakdown of main indicator","Men (Age 18 and Abocve)-SYR living in communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"216","PROT[4]Child Protection","[REF4.4]Specialised Services/Case Mngmt.","Indicator","Breakdown of main indicator","Women (Age 18 and above)-Members of impacted communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"234","PROT[4]Child Protection","[REF4.4]Specialised Services/Case Mngmt.","Indicator","Breakdown of main indicator","Women (Age 18 and above)-SYR living in camps","","# of benef.","","Once","SyrRefRespRRP6","","",""
"252","PROT[4]Child Protection","[REF4.4]Specialised Services/Case Mngmt.","Indicator","Breakdown of main indicator","Women (Age 18 and above)-SYR living in communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"270","PROT[4]Child Protection","[REF4.4]Specialised Services/Case Mngmt.","Indicator","Budget","Budgetary Requirement for 2015","","USD $","","Once","SyrRefRespRRP6","","",""
"288","PROT[4]Child Protection","[REF4.4]Specialised Services/Case Mngmt.","Indicator","Budget","NLG Budget  
(as part of the overall budget)","","USD $","","Once","SyrRefRespRRP6","","",""
"339","PROT[4]Child Protection","[REF4.4]Specialised Services/Case Mngmt.","Indicator","Indicator","# of UAC, SC, and children at risk provided with multi-sectoral services (age & gender disaggregated)","","# of benef.","","Once","SyrRefRespRRP6","","",""
